ID,Sentence,ID2,label
1,讨厌谁我就给对方买蒙牛！,1,
1,别以为政治与你无关，有人送我蒙牛的产品我会以为对方要害我！,2,2
2,兄弟。,1,
2,你到底有多伤阿 - -。。。。。,2,
2,//@nokki卡布诺琪: 领悟透了~~[泪] [泪],3,2
3,回复@沃阁酒店任宁:说定了![心][萌],1,1
3,//@沃阁酒店任宁:嗯 哈哈 我们绝对好生接待你啊 ～～～,2,
3,//@陈宝存:回复@沃阁酒店任宁:最好下次住你们酒店!,3,
4,下回烧香可叫我，我每月去一次的，阿弥陀佛~,1,1
4,好的，香友,2,
5,因为你是老太太,1,
5,看完了，满满的回忆，很多那个时代的元素,2,1
6,死去，我还以为是西门口那张呢，我跟这张蛮像的。,1,1
6,哈哈哈……那张上网查查有没有,2,
7,那我什么都不要吃好了,1,
7,反正麻小我是绝对不吃的。海鲜吃的多了不差这一口,2,2
8,对了，上次让你给我问的好点的号怎么样了啊？,1,2
8,正在进行时,2,
9,回复@脸时代:谢谢美国友人[握手],1,
9,//@脸时代:转发此微博:赞赞赞,2,
9,//@于文婷Tinkle:喔唷[奥特曼],3,1
10,期待奥运会夺冠  @大河报,1,
10,【刘翔抢跑被罚出 罗伯斯7秒66夺冠】,2,
10,北京时间24日凌晨，2012年斯德哥尔摩室内田径赛正在进行。,3,0
10,在备受关注的男子60米栏比赛中，“中国飞人”刘翔意外抢跑，被罚出场外，无缘赛季两连冠；,4,
10,古巴名将罗伯斯以7秒66折桂。,5,
10,http:\\t.cn\zOUBx4q,6,
11,奥运会亚军选手曾经学过Breaking?,1,0
11,@举重吴小彪 怎么说我也上过几节街舞课@Hi-柒某某 @己喜勿悲 @胖菜籽儿,2,
12,【撑不下去的春晚】,1,
12,当今之世，是一个东南西北中，各有各的口味的时代。,2,0
12,这个时代，也有跟这个时代相匹配的传播条件。,3,0
12,所以，最好的春晚，其实就是百花齐放的春晚，上面放开，下面各显神通。,4,
12,人在戏里，也在戏外，高度参与，极度的嗨。,5,
12,撑不下去才大一统春晚，就别撑了。,6,
12,http:\\t.cn\8FV7htZ,7,
13,靠太像了啊啊啊  @刘惠璞_河马哥 在看春晚么？,1,0
13,有木有人觉得老毕，和@慕岩百合网 长的很像,2,
14,大赞！,1,
14,\\@锤锤咚长三千尺 :hhhhh,2,
14,\\@舔咚重症患者 :干得漂亮哈哈哈哈哈,3,
14,\\@缺缺抖森一块看小黄文 : 哈哈哈哈哈哈哈哈哈哈,4,
14,\\@丧心病狂黑化琳KUN :哈哈哈哈哈,5,
14,\\@高杉洗咚 :真?马?年,6,
14,\\@Mrahn_潮比特说马年大吉 : hhhh,7,
14,\\@泡沫_Judy_高二病 :蛤蛤蛤蛤蛤蛤,8,
14,\\@肥皂NSOAP : 哈哈哈哈哈哈哈真是本质,9,
14,\\@-李BB的不咸- :  @蛋蛋_村北口的二蛋,10,0
14,#春晚#,11,
15,最精彩的就是，郭美美领着小伊伊上春晚了。。。,1,
15,\\@上海全攻略 :两个娘娘腔，两只小人妖。,2,0
15,@上海全攻略 据说，刘谦和傅琰东将同时亮相2012年CCTV龙年春晚的舞台。,3,0
15,烦不烦呀?,4,
16,【贾跃亭到底多缺钱：1个月2次质押美国豪宅不惜高利率】媒体调查梳理发现，在6月这一个月时间里，贾跃亭先后做了两笔质押贷款。,1,2
16,在结清了月初的贷款后，他不惜选择抵押更多房产，以换取更多流动资金，并承受更高利率，这些细节到底意味着什么？,2,
16,#云掌财经#,3,
17,【酷派集团子公司被平安银行起诉提前还贷，大股东乐视担保】平安银行深圳分行诉称，其经调查发现，作为担保人之一的酷派集团一家附属公司已出现财务状况恶化的情况，将严重影响借款人的经营及履约能力，故向广东省深圳市中级人民法院提起诉讼。,1,
17,（21世纪经济报道）酷派集团子公司被平安银行起诉提前还贷，大股东乐视担保?,2,2
18,转发了炙热沙城的微博:有一种深深的不祥之感，今天拉影视股可能是为了乐视网复牌，乐视网复牌唯一能说的就是乐视影业注入了，复牌之前把影视股推上去不就是为了乐视网能少跌点，太可怕了??,1,
18,赞[1]?,2,
18,原文转发[1]?,3,
18,原文评论[1]转发理由:难道拉创业板就是为了乐视网复牌？,4,
18,先把贾跃亭的股份冻结了，然后在创业板最火的时候复牌，里面的机构都救活了！,5,2
18,和今天的金信诺一个道理,6,
19,转发了东方财富网的微博:【A股创业板估值真相：不但接近纳斯达克还接近历史底部】创业板估值进一步探底，与此同时，同样以新兴产业为主的美国纳斯达克综合指数估值却屡创新高。,1,1
19,（证券时报网）A股创业板估值真相：不但接近纳斯达克还接近历史底部??,2,
19,赞[2]?,3,
19,原文转发[5]?,4,
19,原文评论[3]转发理由:今天乐视网停牌100天，对标特斯拉吗？,5,2
